A;B;Phrase
caravane;vacancier;caravane du vacancier
valise;voyageur;valise du voyageur
billet;passager;billet du passager
ticket;spectateur;ticket du spectateur
place;abonné;place de l'abonné
fauteuil;grand-père;fauteuil du grand-père
lit;malade;lit du malade
berceau;nouveau-né;berceau du nouveau-né
cercueil;défunt;cercueil du défunt
tombe;inconnu;tombe de l'inconnu
maison;famille;maison de la famille
clé;propriétaire;clé du propriétaire
bail;locataire;bail du locataire
loyer;propriétaire;loyer du propriétaire
dette;joueur;dette du joueur
argent;avare;argent de l'avare
or;riche;or du riche
fortune;milliardaire;fortune du milliardaire
héritage;veuve;héritage de la veuve
patrimoine;ancêtres;patrimoine des ancêtres
terre;paysan;terre du paysan
champ;fermier;champ du fermier
vigne;vigneron;vigne du vigneron
jardin;jardinier;jardin du jardinier
potager;grand-père;potager du grand-père
verger;producteur;verger du producteur
ruche;apiculteur;ruche de l'apiculteur
étable;éleveur;étable de l'éleveur
écurie;propriétaire;écurie du propriétaire
bateau;pêcheur;bateau du pêcheur
filet;marin;filet du marin
canne;pêcheur;canne du pêcheur
fusil;chasseur;fusil du chasseur
gibier;braconnier;gibier du braconnier
panier;ménagère;panier de la ménagère
caddie;client;caddie du client
liste;courses;liste des courses
recette;chef;recette du chef
menu;restaurant;menu du restaurant
addition;client;addition du client
pourboire;serveur;pourboire du serveur
salaire;ouvrier;salaire de l'ouvrier
pension;retraité;pension du retraité
bourse;étudiant;bourse de l'étudiant
argent;poche;argent de poche
tirelire;enfant;tirelire de l'enfant
coffre;banquier;coffre du banquier
caisse;commerçant;caisse du commerçant
boutique;vendeur;boutique du vendeur
étal;marchand;étal du marchand
kiosque;journaux;kiosque à journaux
cabinet;médecin;cabinet du médecin
étude;notaire;étude du notaire
bureau;avocat;bureau de l'avocat
atelier;artiste;atelier de l'artiste
studio;photographe;studio du photographe
laboratoire;chimiste;laboratoire du chimiste
usine;patron;usine du patron
chantier;architecte;chantier de l'architecte
projet;ingénieur;projet de l'ingénieur
thèse;doctorant;thèse du doctorant
copie;élève;copie de l'élève
bulletin;écolier;bulletin de l'écolier
diplôme;étudiant;diplôme de l'étudiant
permis;conducteur;permis du conducteur
voiture;pilote;voiture du pilote
moto;motard;moto du motard
vélo;cycliste;vélo du cycliste
camion;routier;camion du routier
taxi;chauffeur;taxi du chauffeur
bus;société;bus de la société
train;sncf;train de la sncf
avion;compagnie;avion de la compagnie
navire;armateur;navire de l'armateur
yacht;star;yacht de la star
jet;pdg;jet du pdg
hélicoptère;police;hélicoptère de la police
fourgon;banque;fourgon de la banque
ambulance;hôpital;ambulance de l'hôpital
camion;pompier;camion du pompier
tracteur;agriculteur;tracteur de l'agriculteur
charrue;laboureur;charrue du laboureur
outil;artisan;outil de l'artisan
marteau;charpentier;marteau du charpentier
truelle;maçon;truelle du maçon
pinceau;peintre;pinceau du peintre
rabot;menuisier;rabot du menuisier
clé;plombier;clé du plombier
tournevis;électricien;tournevis de l'électricien
ciseaux;coiffeur;ciseaux du coiffeur
aiguille;couturière;aiguille de la couturière
dé;cousette;dé de la cousette
rouleau;boulanger;rouleau du boulanger
four;pizzaiolo;four du pizzaiolo
couteau;boucher;couteau du boucher
hachoir;charcutier;hachoir du charcutier
balance;épicier;balance de l'épicier
caisse;caissière;caisse de la caissière
sifflet;agent;sifflet de l'agent
menottes;gendarme;menottes du gendarme
arme;soldat;arme du soldat
épée;officier;épée de l'officier
bouclier;crs;bouclier du crs
matraque;policier;matraque du policier
lance;pompier;lance du pompier
stéthoscope;docteur;stéthoscope du docteur
bistouri;chirurgien;bistouri du chirurgien
roulette;dentiste;roulette du dentiste
seringue;infirmière;seringue de l'infirmière
ordonnance;pharmacien;ordonnance du pharmacien
blouse;chimiste;blouse du chimiste
toge;juge;toge du juge
robe;avocat;robe de l'avocat
soutane;prêtre;soutane du prêtre
habit;moine;habit du moine
uniforme;militaire;uniforme du militaire
casque;soldat;casque du soldat
képi;général;képi du général
toque;juge;toque du juge
couronne;miss;couronne de la miss
écharpe;supporter;écharpe du supporter
drapeau;porte-drapeau;drapeau du porte-drapeau
ballon;joueur;ballon du joueur
raquette;tennisman;raquette du tennisman
club;golfeur;club du golfeur
skis;skieur;skis du skieur
masse;forgeron;masse du forgeron
enclume;maréchal-ferrant;enclume du maréchal-ferrant
faucille;druide;faucille du druide
serpe;bûcheron;serpe du bûcheron
hache;pompier;hache du pompier
échelle;couvreur;échelle du couvreur
plume;écrivain;plume de l'écrivain
clavier;secrétaire;clavier de la secrétaire
micro;journaliste;micro du journaliste
caméra;cameraman;caméra du cameraman
appareil;photographe;appareil du photographe
chevalet;peintre;chevalet du peintre
palette;artiste;palette de l'artiste
burin;sculpteur;burin du sculpteur
archet;violoniste;archet du violoniste
baguette;chef d'orchestre;baguette du chef d'orchestre
guitare;rockeur;guitare du rockeur
piano;virtuose;piano du virtuose
scène;acteur;scène de l'acteur
loge;comédien;loge du comédien
maquillage;clown;maquillage du clown
nez;clown;nez du clown
chapeau;magicien;chapeau du magicien
baguette;fée;baguette de la fée
balai;sorcière;balai de la sorcière
chaudron;sorcière;chaudron de la sorcière
boule;voyante;boule de la voyante
carte;tarologue;carte du tarologue
pendule;radiesthésiste;pendule du radiesthésiste
fouet;dompteur;fouet du dompteur
cerceau;acrobate;cerceau de l'acrobate
trapèze;voltigeur;trapèze du voltigeur
fil;funambule;fil du funambule
quille;jongleur;quille du jongleur
livre;bibliothécaire;livre du bibliothécaire
rayon;magasinier;rayon du magasinier
chariot;manutentionnaire;chariot du manutentionnaire
diable;livreur;diable du livreur
camion;déménageur;camion du déménageur
grue;grutier;grue du grutier
pelleteuse;conducteur;pelleteuse du conducteur
tractopelle;ouvrier;tractopelle de l'ouvrier
rouleau;compresseur;rouleau du compresseur
betonnière;maçon;bétonnière du maçon
échafaudage;peintre;échafaudage du peintre
escabeau;bricoleur;escabeau du bricoleur
caisse;outils;caisse à outils du bricoleur
établi;menuisier;établi du menuisier
tour;potier;tour du potier
four;céramiste;four du céramiste
chalumeau;soudeur;chalumeau du soudeur
masque;plongeur;masque du plongeur
bouteille;plongeur;bouteille du plongeur
harpon;chasseur;harpon du chasseur
canne;pêcheur;canne du pêcheur
appât;pêcheur;appât du pêcheur
nasse;pêcheur;nasse du pêcheur
fusil;chasseur;fusil du chasseur
cartouche;chasseur;cartouche du chasseur
gibecière;chasseur;gibecière du chasseur
cor;chasse;cor de chasse
fouet;cocher;fouet du cocher
rênes;cavalier;rênes du cavalier
étrier;jockey;étrier du jockey
cravache;cavalier;cravache du cavalier
lasso;cowboy;lasso du cowboy
colt;shérif;colt du shérif
étoile;shérif;étoile du shérif
plume;indien;plume de l'indien
tomahawk;guerrier;tomahawk du guerrier
calumet;chef;calumet du chef
sabre;samouraï;sabre du samouraï
katana;ninja;katana du ninja
nunchaku;karatéka;nunchaku du karatéka
kimono;judoka;kimono du judoka
ceinture;champion;ceinture du champion
gant;boxeur;gant du boxeur
protège-dent;rugbyman;protège-dent du rugbyman
casque;footballeur;casque du footballeur
maillot;cycliste;maillot du cycliste
vélo;coureur;vélo du coureur
formule 1;pilote;formule 1 du pilote
combinaison;cosmonaute;combinaison du cosmonaute
fusée;astronaute;fusée de l'astronaute
navette;spatial;navette spatiale
satellite;agence;satellite de l'agence
télescope;astronome;télescope de l'astronome
microscope;biologiste;microscope du biologiste
éprouvette;chimiste;éprouvette du chimiste
blouse;laborantin;blouse du laborantin
ordinateur;programmeur;ordinateur du programmeur
serveur;administrateur;serveur de l'administrateur
site;webmaster;site du webmaster
blog;blogueur;blog du blogueur
chaîne;youtubeur;chaîne du youtubeur
compte;influenceur;compte de l'influenceur
profil;utilisateur;profil de l'utilisateur
mur;facebook;mur de l'utilisateur
tweet;internaute;tweet de l'internaute
mail;expéditeur;mail de l'expéditeur
colis;destinataire;colis du destinataire
lettre;facteur;lettre du facteur
sacoche;postier;sacoche du postier
vélo;facteur;vélo du facteur
sifflet;contrôleur;sifflet du contrôleur
poinçonneuse;contrôleur;poinçonneuse du contrôleur
képi;chef de gare;képi du chef de gare
buse;avion;buse de l'avion
manche;pilote;manche du pilote
radar;contrôleur;radar du contrôleur
tour;contrôle;tour de contrôle
piste;aéroport;piste de l'aéroport
quai;gare;quai de la gare
port;ville;port de la ville
phare;gardien;phare du gardien
écluse;éclusier;écluse de l'éclusier
barrage;ingénieur;barrage de l'ingénieur
centrale;edf;centrale d'edf
ligne;téléphone;ligne de téléphone
câble;opérateur;câble de l'opérateur
antenne;télé;antenne de la télé
parabole;habitant;parabole de l'habitant
box;locataire;box du locataire
parking;client;parking du client
place;handicapé;place du handicapé
siège;passager;siège du passager
volant;conducteur;volant du conducteur
pédale;automobiliste;pédale de l'automobiliste
clé;voiture;clé de la voiture
carte;grise;carte grise du propriétaire
assurance;conducteur;assurance du conducteur
vignette;auto;vignette de l'auto
plaque;immatriculation;plaque de l'immatriculation
permis;chasse;permis du chasseur
licence;sportif;licence du sportif
carte;étudiant;carte de l'étudiant
badge;employé;badge de l'employé
code;entrée;code de l'entrée
clé;coffre;clé du coffre
combinaison;coffre;combinaison du coffre
secret;famille;secret de la famille
recette;grand-mère;recette de la grand-mère
album;photos;album de photos
journal;intime;journal intime de la fille
mémoires;général;mémoires du général
biographie;star;biographie de la star
autographe;fan;autographe du fan
dedicace;auteur;dédicace de l'auteur
livre;bibliothèque;livre de la bibliothèque
tableau;musée;tableau du musée
statue;parc;statue du parc
banc;amoureux;banc des amoureux
arbre;voisin;arbre du voisin
haie;mitoyen;haie du mitoyen
mur;jardin;mur du jardin
toit;maison;toit de la maison
cheminée;foyer;cheminée du foyer
antenne;toit;antenne du toit
boîte;lettres;boîte aux lettres
sonnette;porte;sonnette de la porte
paillasson;entrée;paillasson de l'entrée
clé;serrure;clé de la serrure
masse;forgeron;masse du forgeron
enclume;maréchal-ferrant;enclume du maréchal-ferrant
faucille;druide;faucille du druide
serpe;bûcheron;serpe du bûcheron
hache;pompier;hache du pompier
échelle;couvreur;échelle du couvreur
plume;écrivain;plume de l'écrivain
clavier;secrétaire;clavier de la secrétaire
micro;journaliste;micro du journaliste
caméra;cameraman;caméra du cameraman
appareil;photographe;appareil du photographe
chevalet;peintre;chevalet du peintre
palette;artiste;palette de l'artiste
burin;sculpteur;burin du sculpteur
archet;violoniste;archet du violoniste
baguette;chef d'orchestre;baguette du chef d'orchestre
guitare;rockeur;guitare du rockeur
piano;virtuose;piano du virtuose
scène;acteur;scène de l'acteur
loge;comédien;loge du comédien
maquillage;clown;maquillage du clown
nez;clown;nez du clown
chapeau;magicien;chapeau du magicien
baguette;fée;baguette de la fée
balai;sorcière;balai de la sorcière
chaudron;sorcière;chaudron de la sorcière
boule;voyante;boule de la voyante
carte;tarologue;carte du tarologue
pendule;radiesthésiste;pendule du radiesthésiste
fouet;dompteur;fouet du dompteur
cerceau;acrobate;cerceau de l'acrobate
trapèze;voltigeur;trapèze du voltigeur
fil;funambule;fil du funambule
quille;jongleur;quille du jongleur
livre;bibliothécaire;livre du bibliothécaire
rayon;magasinier;rayon du magasinier
chariot;manutentionnaire;chariot du manutentionnaire
diable;livreur;diable du livreur
camion;déménageur;camion du déménageur
grue;grutier;grue du grutier
pelleteuse;conducteur;pelleteuse du conducteur
tractopelle;ouvrier;tractopelle de l'ouvrier
rouleau;compresseur;rouleau du compresseur
betonnière;maçon;bétonnière du maçon
échafaudage;peintre;échafaudage du peintre
escabeau;bricoleur;escabeau du bricoleur
caisse;outils;caisse à outils du bricoleur
établi;menuisier;établi du menuisier
tour;potier;tour du potier
four;céramiste;four du céramiste
chalumeau;soudeur;chalumeau du soudeur
masque;plongeur;masque du plongeur
bouteille;plongeur;bouteille du plongeur
harpon;chasseur;harpon du chasseur
canne;pêcheur;canne du pêcheur
appât;pêcheur;appât du pêcheur
nasse;pêcheur;nasse du pêcheur
fusil;chasseur;fusil du chasseur
cartouche;chasseur;cartouche du chasseur
gibecière;chasseur;gibecière du chasseur
cor;chasse;cor de chasse
fouet;cocher;fouet du cocher
rênes;cavalier;rênes du cavalier
étrier;jockey;étrier du jockey
cravache;cavalier;cravache du cavalier
lasso;cowboy;lasso du cowboy
colt;shérif;colt du shérif
étoile;shérif;étoile du shérif
plume;indien;plume de l'indien
tomahawk;guerrier;tomahawk du guerrier
calumet;chef;calumet du chef
sabre;samouraï;sabre du samouraï
katana;ninja;katana du ninja
nunchaku;karatéka;nunchaku du karatéka
kimono;judoka;kimono du judoka
ceinture;champion;ceinture du champion
gant;boxeur;gant du boxeur
protège-dent;rugbyman;protège-dent du rugbyman
casque;footballeur;casque du footballeur
maillot;cycliste;maillot du cycliste
vélo;coureur;vélo du coureur
formule 1;pilote;formule 1 du pilote
combinaison;cosmonaute;combinaison du cosmonaute
fusée;astronaute;fusée de l'astronaute
navette;spatial;navette spatiale
satellite;agence;satellite de l'agence
télescope;astronome;télescope de l'astronome
microscope;biologiste;microscope du biologiste
éprouvette;chimiste;éprouvette du chimiste
blouse;laborantin;blouse du laborantin
ordinateur;programmeur;ordinateur du programmeur
serveur;administrateur;serveur de l'administrateur
site;webmaster;site du webmaster
blog;blogueur;blog du blogueur
chaîne;youtubeur;chaîne du youtubeur
compte;influenceur;compte de l'influenceur
profil;utilisateur;profil de l'utilisateur
mur;facebook;mur de l'utilisateur
tweet;internaute;tweet de l'internaute
mail;expéditeur;mail de l'expéditeur
colis;destinataire;colis du destinataire
lettre;facteur;lettre du facteur
sacoche;postier;sacoche du postier
vélo;facteur;vélo du facteur
sifflet;contrôleur;sifflet du contrôleur
poinçonneuse;contrôleur;poinçonneuse du contrôleur
képi;chef de gare;képi du chef de gare
buse;avion;buse de l'avion
manche;pilote;manche du pilote
radar;contrôleur;radar du contrôleur
tour;contrôle;tour de contrôle
piste;aéroport;piste de l'aéroport
quai;gare;quai de la gare
port;ville;port de la ville
phare;gardien;phare du gardien
écluse;éclusier;écluse de l'éclusier
barrage;ingénieur;barrage de l'ingénieur
centrale;edf;centrale d'edf
ligne;téléphone;ligne de téléphone
câble;opérateur;câble de l'opérateur
antenne;télé;antenne de la télé
parabole;habitant;parabole de l'habitant
box;locataire;box du locataire
parking;client;parking du client
place;handicapé;place du handicapé
siège;passager;siège du passager
volant;conducteur;volant du conducteur
pédale;automobiliste;pédale de l'automobiliste
clé;voiture;clé de la voiture
carte;grise;carte grise du propriétaire
assurance;conducteur;assurance du conducteur
vignette;auto;vignette de l'auto
plaque;immatriculation;plaque de l'immatriculation
permis;chasse;permis du chasseur
licence;sportif;licence du sportif
carte;étudiant;carte de l'étudiant
badge;employé;badge de l'employé
code;entrée;code de l'entrée
clé;coffre;clé du coffre
combinaison;coffre;combinaison du coffre
secret;famille;secret de la famille
recette;grand-mère;recette de la grand-mère
album;photos;album de photos
journal;intime;journal intime de la fille
mémoires;général;mémoires du général
biographie;star;biographie de la star
autographe;fan;autographe du fan
dedicace;auteur;dédicace de l'auteur
livre;bibliothèque;livre de la bibliothèque
tableau;musée;tableau du musée
statue;parc;statue du parc
banc;amoureux;banc des amoureux
arbre;voisin;arbre du voisin
haie;mitoyen;haie du mitoyen
mur;jardin;mur du jardin
toit;maison;toit de la maison
cheminée;foyer;cheminée du foyer
antenne;toit;antenne du toit
boîte;lettres;boîte aux lettres
sonnette;porte;sonnette de la porte
paillasson;entrée;paillasson de l'entrée
clé;serrure;clé de la serrure
maison;campagne;maison de campagne
appartement;ville;appartement de ville
studio;étudiant;studio de l'étudiant
chambre;bonne;chambre de bonne
loft;artiste;loft de l'artiste
atelier;peintre;atelier du peintre
garage;mécanicien;garage du mécanicien
cabane;pêcheur;cabane du pêcheur
chalet;montagne;chalet de la montagne
ferme;paysan;ferme du paysan
grange;fermier;grange du fermier
étable;vache;étable des vaches
bergerie;mouton;bergerie des moutons
porcherie;cochon;porcherie des cochons
poulailler;poule;poulailler des poules
clapier;lapin;clapier des lapins
niche;chien;niche du chien
panier;chat;panier du chat
bocal;poisson;bocal du poisson
cage;oiseau;cage de l'oiseau
zoo;animal;zoo des animaux
cirque;clown;cirque du clown
théâtre;acteur;théâtre de l'acteur
cinéma;spectateur;cinéma du spectateur
musée;visiteur;musée du visiteur
école;élève;école de l'élève
collège;collégien;collège du collégien
lycée;lycéen;lycée du lycéen
université;étudiant;université de l'étudiant
fac;droit;fac de droit
bureau;directeur;bureau du directeur
usine;ouvrier;usine de l'ouvrier
chantier;maçon;chantier du maçon
boutique;commerçant;boutique du commerçant
magasin;vendeur;magasin du vendeur
supermarché;client;supermarché du client
marché;forain;marché du forain
banque;banquier;banque du banquier
poste;facteur;poste du facteur
mairie;maire;mairie du maire
préfecture;préfet;préfecture du préfet
ministère;ministre;ministère du ministre
palais;roi;palais du roi
château;prince;château du prince
manoir;fantôme;manoir du fantôme
forteresse;chevalier;forteresse du chevalier
tour;guet;tour de guet
donjon;prisonnier;donjon du prisonnier
pont;gardien;pont du gardien
phare;gardien;phare du gardien
moulin;meunier;moulin du meunier
boulangerie;boulanger;boulangerie du boulanger
boucherie;boucher;boucherie du boucher
charcuterie;charcutier;charcuterie du charcutier
poissonnerie;poissonnier;poissonnerie du poissonnier
pharmacie;pharmacien;pharmacie du pharmacien
hôpital;médecin;hôpital du médecin
clinique;chirurgien;clinique du chirurgien
cabinet;dentiste;cabinet du dentiste
laboratoire;savant;laboratoire du savant
bibliothèque;lecteur;bibliothèque du lecteur
librairie;libraire;librairie du libraire
kiosque;journaux;kiosque à journaux
gare;voyageur;gare du voyageur
aéroport;pilote;aéroport du pilote
port;marin;port du marin
caserne;pompier;caserne des pompiers
commissariat;police;commissariat de police
gendarmerie;gendarme;gendarmerie du gendarme
prison;détenu;prison du détenu
tribunal;juge;tribunal du juge
église;curé;église du curé
cathédrale;évêque;cathédrale de l'évêque
chapelle;châtelain;chapelle du châtelain
mosquée;imam;mosquée de l'imam
synagogue;rabbin;synagogue du rabbin
temple;moine;temple du moine
cimetière;mort;cimetière des morts
tombe;inconnu;tombe de l'inconnu
caveau;famille;caveau de la famille
parc;enfant;parc des enfants
jardin;public;jardin du public
stade;joueur;stade des joueurs
piscine;nageur;piscine des nageurs
gymnase;sportif;gymnase des sportifs
forêt;bûcheron;forêt du bûcheron
bois;promeneur;bois du promeneur
champ;laboureur;champ du laboureur
vigne;vigneron;vigne du vigneron
verger;fruit;verger des fruits
potager;légume;potager des légumes
mer;marin;mer du marin
océan;navigateur;océan du navigateur
rivière;pêcheur;rivière du pêcheur
lac;baigneur;lac du baigneur
montagne;alpiniste;montagne de l'alpiniste
sommet;grimpeur;sommet du grimpeur
grotte;ours;grotte de l'ours
caverne;ali baba;caverne d'Ali Baba
nid;aigle;nid de l'aigle
terrier;lapin;terrier du lapin
ruche;abeille;ruche de l'abeille
fourmilière;fourmi;fourmilière de la fourmi
toile;araignée;toile de l'araignée
coquille;escargot;coquille de l'escargot
maison;paille;maison de paille (cochon)
maison;bois;maison de bois
maison;brique;maison de brique
igloo;esquimau;igloo de l'esquimau
tipi;indien;tipi de l'indien
yourte;mongole;yourte du mongole
tente;bédouin;tente du bédouin
case;africain;case de l'africain
chalet;suisse;chalet du suisse
isba;russe;isba du russe
harem;sultan;harem du sultan
serrail;pacha;sérail du pacha
monastère;moine;monastère du moine
couvent;nonne;couvent de la nonne
ermitage;ermite;ermitage de l'ermite
refuge;montagnard;refuge du montagnard
abri;bus;abri de bus
cabine;téléphone;cabine de téléphone
toilettes;dames;toilettes des dames
vestiaire;joueur;vestiaire des joueurs
loge;concierge;loge du concierge
guichet;employé;guichet de l'employé
comptoir;barman;comptoir du barman
caisse;caissière;caisse de la caissière
rayon;vendeur;rayon du vendeur
étal;marchand;étal du marchand
scène;acteur;scène de l'acteur
piste;danse;piste de danse
podium;mannequin;podium du mannequin
arène;gladiateur;arène du gladiateur
ring;boxeur;ring du boxeur
tatami;judoka;tatami du judoka
terrain;footballeur;terrain du footballeur
court;tennisman;court du tennisman
green;golfeur;green du golfeur
piste;skieur;piste du skieur
bassin;nageur;bassin du nageur
plongeoir;plongeur;plongeoir du plongeur
selle;cavalier;selle du cavalier
guidon;cycliste;guidon du cycliste
volant;conducteur;volant du conducteur
barre;capitaine;barre du capitaine
manche;pilote;manche du pilote
trône;roi;trône du roi
chaire;professeur;chaire du professeur
pupitre;élève;pupitre de l'élève
banc;accusé;banc de l'accusé
barre;témoin;barre du témoin
box;accusé;box de l'accusé
confessionnal;pécheur;confessionnal du pécheur
autel;prêtre;autel du prêtre
chaire;prédicateur;chaire du prédicateur
minaret;muezzin;minaret du muezzin
clocher;sonneur;clocher du sonneur
pomme;eve;pomme d'Ève
arche;noé;arche de Noé
bâton;moïse;bâton de Moïse
fronde;david;fronde de David
cheveux;samson;cheveux de Samson
force;hercule;force d'Hercule
talon;achille;talon d'Achille
épée;damoclès;épée de Damoclès
boîte;pandore;boîte de Pandore
fil;ariane;fil d'Ariane
labyrinthe;minotaure;labyrinthe du Minotaure
ailes;icare;ailes d'Icare
énigme;sphinx;énigme du Sphinx
lampe;aladin;lampe d'Aladin
tapis;volant;tapis volant
caverne;ali baba;caverne d'Ali Baba
sésame;ouvre-toi;sésame ouvre-toi
graal;arthur;graal du roi Arthur
épée;excalibur;épée Excalibur
table;ronde;table ronde
philtre;amour;philtre d'amour
anneau;sauron;anneau de Sauron
bague;frodon;bague de Frodon
précieux;gollum;précieux de Gollum
baguette;harry;baguette d'Harry
balai;sorcier;balai de sorcier
choapeau;choix;chapeau choixpeau
cape;invisibilité;cape d'invisibilité
pierre;philosophale;pierre philosophale
miroir;sorcière;miroir de la sorcière
pomme;blanche-neige;pomme de Blanche-Neige
chaussure;verre;chaussure de verre
pantoufle;cendrillon;pantoufle de Cendrillon
citrouille;carrosse;citrouille carrosse
botte;chat;botte du chat
panier;chaperon;panier du chaperon
maison;pain d'épice;maison en pain d'épice
lampe;génie;lampe du génie
tapis;aladin;tapis d'Aladin
trésor;pirate;trésor de pirate
carte;trésor;carte au trésor
crochet;capitaine;crochet du capitaine
ombre;peter pan;ombre de Peter Pan
poussière;fée;poussière de fée
pays;imaginaire;pays imaginaire
terrier;lapin blanc;terrier du lapin blanc
thé;chapelier;thé du chapelier
sourire;chat;sourire du chat (Cheshire)
rose;petit prince;rose du petit prince
renard;petit prince;renard du petit prince
mouton;boîte;mouton dans la boîte
sabre;laser;sabre laser
force;jedi;force des Jedi
étoile;noire;étoile noire
vaisseau;solo;vaisseau de Solo
masque;vador;masque de Vador
armure;iron man;armure d'Iron Man
bouclier;captain;bouclier de Captain America
marteau;thor;marteau de Thor
toile;spiderman;toile de Spiderman
batmobile;batman;batmobile de Batman
cave;batman;cave de Batman
slip;superman;slip de Superman
cape;superman;cape de Superman
lasso;wonder woman;lasso de Wonder Woman
trident;aquaman;trident d'Aquaman
anneau;green lantern;anneau de Green Lantern
griffe;wolverine;griffe de Wolverine
fauteuil;professeur x;fauteuil du Professeur X
tardis;docteur;tardis du Docteur
delorean;doc;delorean de Doc
overboard;marty;overboard de Marty
précieux;gollum;mon précieux
épée;zorro;épée de Zorro
masque;zorro;masque de Zorro
fouet;indiana;fouet d'Indiana Jones
chapeau;indiana;chapeau d'Indiana Jones
pipe;sherlock;pipe de Sherlock
loupe;sherlock;loupe de Sherlock
violon;sherlock;violon de Sherlock
moustache;poirot;moustache de Poirot
cigare;columbo;cigare de Columbo
imperméable;columbo;imperméable de Columbo
voiture;bond;voiture de Bond
gadget;bond;gadget de Bond
permis;tuer;permis de tuer
parrain;mafia;parrain de la mafia
offre;refus;offre qu'on ne peut refuser
tête;cheval;tête de cheval
bague;baiser;bague à baiser
silence;agneaux;silence des agneaux
masque;hannibal;masque d'Hannibal
douche;psychose;douche de Psychose
chambre;shining;chambre de Shining
hache;jack;hache de Jack
vidéo;cercle;vidéo du Cercle
