A;B;Phrase
saucisse;Strasbourg;saucisse de Strasbourg
saucisse;Toulouse;saucisse de Toulouse
saucisse;Morteau;saucisse de Morteau
saucisse;Montbéliard;saucisse de Montbéliard
saucisson;Lyon;saucisson de Lyon
saucisson;Arles;saucisson d'Arles
chorizo;Espagne;chorizo d'Espagne
salami;Milan;salami de Milan
mortadelle;Bologne;mortadelle de Bologne
coppa;Corse;coppa de Corse
figatellu;Corse;figatellu de Corse
andouille;Guémené;andouille de Guémené
andouillette;Troyes;andouillette de Troyes
boudin;Antilles;boudin des Antilles
rillettes;Mans;rillettes du Mans
foie;Strasbourg;foie gras de Strasbourg
tripes;Caen;tripes de Caen
cassoulet;Castelnaudary;cassoulet de Castelnaudary
choucroute;Alsace;choucroute d'Alsace
bouillabaisse;Marseille;bouillabaisse de Marseille
ratatouille;Nice;ratatouille de Nice
salade;Nice;salade de Nice
quiche;Lorraine;quiche de Lorraine
potée;Auvergne;potée d'Auvergne
aligot;Aubrac;aligot de l'Aubrac
crêpe;Bretagne;crêpe de Bretagne
galette;Sarrasin;galette de Sarrasin
kouign-amann;Douarnenez;kouign-amann de Douarnenez
far;Bretagne;far de Bretagne
gaufre;Liège;gaufre de Liège
gaufre;Bruxelles;gaufre de Bruxelles
macaron;Nancy;macaron de Nancy
macaron;Amiens;macaron d'Amiens
bêtise;Cambrai;bêtise de Cambrai
nougat;Montélimar;nougat de Montélimar
calisson;Aix;calisson d'Aix
berlingot;Carpentras;berlingot de Carpentras
violette;Toulouse;violette de Toulouse
praline;Montargis;praline de Montargis
dragée;Verdun;dragée de Verdun
pastille;Vichy;pastille de Vichy
biscuit;Reims;biscuit de Reims
madeleine;Commercy;madeleine de Commercy
canelé;Bordeaux;cannelé de Bordeaux
tarte;Tatin;tarte Tatin
tarte;Tropezienne;tarte de Saint-Tropez
paris;Brest;paris-brest
saint;Honoré;saint-honoré
forêt;Noire;forêt noire
pudding;Angleterre;pudding d'Angleterre
tiramisu;Italie;tiramisu d'Italie
panettone;Milan;panettone de Milan
gaspacho;Andalousie;gaspacho d'Andalousie
paella;Valence;paella de Valence
pizza;Naples;pizza de Naples
pâte;Bologne;pâte de Bologne
risotto;Milan;risotto de Milan
couscous;Maghreb;couscous du Maghreb
tajine;Maroc;tajine du Maroc
sushi;Japon;sushi du Japon
tempura;Japon;tempura du Japon
kimchi;Corée;kimchi de Corée
nem;Vietnam;nem du Vietnam
pho;Vietnam;pho du Vietnam
pad;Thaï;pad thaï
curry;Inde;curry d'Inde
naan;Inde;naan d'Inde
tandoori;Inde;tandoori d'Inde
houmous;Liban;houmous du Liban
falafel;Moyen-Orient;falafel du Moyen-Orient
kebab;Turquie;kebab de Turquie
loukoum;Turquie;loukoum de Turquie
baklava;Grèce;baklava de Grèce
moussaka;Grèce;moussaka de Grèce
tzatziki;Grèce;tzatziki de Grèce
goulash;Hongrie;goulash de Hongrie
bortsch;Ukraine;bortsch d'Ukraine
blini;Russie;blini de Russie
caviar;Caspienne;caviar de la Caspienne
saumon;Norvège;saumon de Norvège
saumon;Écosse;saumon d'Écosse
hareng;Baltique;hareng de la Baltique
morue;Terre-Neuve;morue de Terre-Neuve
homard;Bretagne;homard de Bretagne
huître;Marennes;huître de Marennes
huître;Arcachon;huître d'Arcachon
huître;Cancale;huître de Cancale
moule;Bouchot;moule de Bouchot
escargot;Bourgogne;escargot de Bourgogne
poulet;Bresse;poulet de Bresse
canard;Landes;canard des Landes
agneau;Sisteron;agneau de Sisteron
agneau;Pré-salé;agneau de pré-salé
boeuf;Kobe;bœuf de Kobe
boeuf;Charolles;bœuf de Charolles
boeuf;Aubrac;bœuf de l'Aubrac
porc;Noir;porc noir de Bigorre
veau;Limousin;veau du Limousin
truffe;Périgord;truffe du Périgord
truffe;Alba;truffe d'Alba
champignon;Paris;champignon de Paris
cèpe;Bordeaux;cèpe de Bordeaux
lentille;Puy;lentille du Puy
haricot;Tarbes;haricot de Tarbes
coco;Paimpol;coco de Paimpol
oignon;Roscoff;oignon de Roscoff
ail;Lautrec;ail de Lautrec
échalote;Bretagne;échalote de Bretagne
chou;Bruxelles;chou de Bruxelles
endive;Nord;endive du Nord
asperge;Argenteuil;asperge d'Argenteuil
artichaut;Bretagne;artichaut de Bretagne
piment;Jamaïque;piment de la Jamaïque
pomme;Limousin;pomme du Limousin
noix;Grenoble;noix de Grenoble
pruneau;Agen;pruneau d'Agen
mirabelle;Lorraine;mirabelle de Lorraine
quetsche;Alsace;quetsche d'Alsace
abricot;Roussillon;abricot du Roussillon
pêche;Vigne;pêche de vigne
melon;Cavaillon;melon de Cavaillon
melon;Charentes;melon des Charentes
fraise;Périgord;fraise du Périgord
fraise;Carpentras;fraise de Carpentras
citron;Menton;citron de Menton
orange;Jaffa;orange de Jaffa
orange;Séville;orange de Séville
banane;Guadeloupe;banane de Guadeloupe
ananas;Victoria;ananas Victoria
litchi;Réunion;litchi de la Réunion
datte;Tunisie;datte de Tunisie
figue;Smyrne;figue de Smyrne
raisin;Corinthe;raisin de Corinthe
soie;Lyon;soie de Lyon
soie;Chine;soie de Chine
velours;Gênes;velours de Gênes
dentelle;Calais;dentelle de Calais
dentelle;Bruges;dentelle de Bruges
dentelle;Chantilly;dentelle de Chantilly
dentelle;Alençon;dentelle d'Alençon
dentelle;Puy;dentelle du Puy
tulle;Tulle;tulle de Tulle
toile;Jouy;toile de Jouy
toile;Nîmes;toile de Nîmes
tartan;Écosse;tartan d'Écosse
tweed;Harris;tweed Harris
laine;Shetland;laine des Shetland
laine;Mérinos;laine Mérinos
laine;Angora;laine Angora
laine;Alpaga;laine d'Alpaga
cachemire;Cachemire;cachemire du Cachemire
mohair;Turquie;mohair de Turquie
coton;Égypte;coton d'Égypte
lin;Normandie;lin de Normandie
chanvre;Inde;chanvre d'Inde
jute;Bengale;jute du Bengale
sisal;Mexique;sisal du Mexique
raphia;Madagascar;raphia de Madagascar
cuir;Russie;cuir de Russie
cuir;Cordoue;cuir de Cordoue
maroquin;Maroc;maroquin du Maroc
daim;Suède;daim de Suède
nubuck;Amérique;nubuck d'Amérique
tapis;Perse;tapis de Perse
tapis;Orient;tapis d'Orient
tapis;Aubusson;tapis d'Aubusson
tapisserie;Bayeux;tapisserie de Bayeux
tapisserie;Gobelins;tapisserie des Gobelins
porcelaine;Limoges;porcelaine de Limoges
porcelaine;Sèvres;porcelaine de Sèvres
porcelaine;Chine;porcelaine de Chine
porcelaine;Saxe;porcelaine de Saxe
porcelaine;Delft;porcelaine de Delft
faïence;Moustiers;faïence de Moustiers
faïence;Gien;faïence de Gien
faïence;Quimper;faïence de Quimper
faïence;Rouen;faïence de Rouen
céramique;Vallauris;céramique de Vallauris
poterie;Anduze;poterie d'Anduze
verre;Murano;verre de Murano
verre;Bohême;verre de Bohême
cristal;Baccarat;cristal de Baccarat
cristal;Saint-Louis;cristal de Saint-Louis
cristal;Arques;cristal d'Arques
cristal;Swarovski;cristal Swarovski
émail;Limoges;émail de Limoges
émail;Longwy;émail de Longwy
couteau;Laguiole;couteau de Laguiole
couteau;Thiers;couteau de Thiers
couteau;Opinel;couteau Opinel
couteau;Suisse;couteau suisse
acier;Damas;acier de Damas
acier;Sheffield;acier de Sheffield
acier;Suède;acier de Suède
acier;Lorraine;acier de Lorraine
fer;Suède;fer de Suède
cuivre;Chili;cuivre du Chili
étain;Cornouailles;étain de Cornouailles
or;Incas;or des Incas
argent;Potosi;argent de Potosi
mercure;Almaden;mercure d'Almaden
marbre;Carrare;marbre de Carrare
marbre;Paros;marbre de Paros
marbre;Sienne;marbre de Sienne
granit;Bretagne;granit de Bretagne
granit;Vosges;granit des Vosges
pierre;Volvic;pierre de Volvic
pierre;Caen;pierre de Caen
pierre;Bourgogne;pierre de Bourgogne
tuffeau;Loire;tuffeau de la Loire
ardoise;Angers;ardoise d'Angers
ardoise;Pays de Galles;ardoise du Pays de Galles
grès;Vosges;grès des Vosges
craie;Champagne;craie de Champagne
kaolin;Limoges;kaolin de Limoges
ocre;Roussillon;ocre de Roussillon
terre;Sienne;terre de Sienne
terre;Ombre;terre d'Ombre
bleu;Outremer;bleu d'Outremer
bleu;Prusse;bleu de Prusse
bleu;Cobalt;bleu de Cobalt
bleu;Klein;bleu Klein
bleu;Chartres;bleu de Chartres
rouge;Pompéi;rouge de Pompéi
jaune;Naples;jaune de Naples
vert;Véronèse;vert Véronèse
bois;Ébène;bois d'ébène
bois;Rose;bois de rose
bois;Santal;bois de santal
teck;Birmanie;teck de Birmanie
acajou;Cuba;acajou de Cuba
cèdre;Liban;cèdre du Liban
pin;Landes;pin des Landes
sapin;Nord;sapin du Nord
chêne;Tronçais;chêne de Tronçais
liège;Portugal;liège du Portugal
bambou;Chine;bambou de Chine
rotin;Malaisie;rotin de Malaisie
ivoire;Afrique;ivoire d'Afrique
ambre;Baltique;ambre de la Baltique
jade;Chine;jade de Chine
opale;Australie;opale d'Australie
turquoise;Perse;turquoise de Perse
lapis-lazuli;Afghanistan;lapis-lazuli d'Afghanistan
diamant;Anvers;diamant d'Anvers (taille)
diamant;Kimberley;diamant de Kimberley
rubis;Birmanie;rubis de Birmanie
saphir;Ceylan;saphir de Ceylan
émeraude;Colombie;émeraude de Colombie
perle;Tahiti;perle de Tahiti
perle;Japon;perle du Japon
parfum;Grasse;parfum de Grasse
essence;Lavande;essence de lavande
rose;Damas;rose de Damas
jasmin;Grasse;jasmin de Grasse
ylang-ylang;Comores;ylang-ylang des Comores
patchouli;Inde;patchouli d'Inde
vétiver;Haïti;vétiver d'Haïti
encens;Oman;encens d'Oman
myrrhe;Yémen;myrrhe du Yémen
gomme;Arabique;gomme arabique
savon;Marseille;savon de Marseille
savon;Alep;savon d'Alep
savon;Noir;savon noir
bougie;Aurillac;bougie d'Aurillac
papier;Chine;papier de Chine
papier;Japon;papier du Japon
papier;Canson;papier Canson
papier;Angoulême;papier d'Angoulême
papier;Arménie;papier d'Arménie
encre;Chine;encre de Chine
crayon;Papier;crayon de papier
violon;Crémone;violon de Crémone
guitare;Espagne;guitare d'Espagne
cor;Alpes;cor des Alpes
tambour;Bronx;tambour du Bronx
orgue;Barbarie;orgue de Barbarie
accordéon;Musette;accordéon musette
cornemuse;Écosse;cornemuse d'Écosse
harpe;Celtique;harpe celtique
flûte;Pan;flûte de Pan
piano;Queue;piano à queue
meuble;Boule;meuble Boulle
style;Empire;style Empire
style;Louis XV;style Louis XV
style;Rococo;style Rococo
style;Baroque;style Baroque
style;Gothique;style Gothique
style;Roman;style Roman
maison;Colombage;maison à colombages
chalet;Suisse;chalet suisse
yourte;Mongolie;yourte de Mongolie
igloo;Inuit;igloo inuit
case;Africaine;case africaine
tipi;Indien;tipi indien
boubou;Afrique;boubou d'Afrique
sari;Inde;sari d'Inde
kimono;Japon;kimono du Japon
kilt;Écosse;kilt d'Écosse
poncho;Pérou;poncho du Pérou
sombrero;Mexique;sombrero du Mexique
panama;Équateur;chapeau Panama
boulier;Chine;boulier de Chine
poupée;Russe;poupée russe
marionnette;Prague;marionnette de Prague
masque;Venise;masque de Venise
théâtre;Kabuki;théâtre Kabuki
théâtre;Nô;théâtre Nô
opéra;Pékin;opéra de Pékin
ballet;Russe;ballet russe
danse;Ventre;danse du ventre
tango;Argentin;tango argentin
samba;Brésil;samba du Brésil
flamenco;Andalousie;flamenco d'Andalousie
valse;Vienne;valse de Vienne
jazz;Nouvelle-Orléans;jazz de la Nouvelle-Orléans
blues;Delta;blues du Delta
rock;Anglais;rock anglais
musique;Celtique;musique celtique
chant;Grégorien;chant grégorien
langue;Molière;langue de Molière
langue;Shakespeare;langue de Shakespeare
langue;Goethe;langue de Goethe
langue;Dante;langue de Dante
langue;Cervantès;langue de Cervantès
alphabet;Latin;alphabet latin
alphabet;Grec;alphabet grec
alphabet;Cyrillique;alphabet cyrillique
chiffre;Arabe;chiffre arabe
chiffre;Romain;chiffre romain
calendrier;Julien;calendrier julien
calendrier;Grégorien;calendrier grégorien
chat;Siam;chat du Siam (Siamois)
chat;Perse;chat persan
chat;Chartreux;chat des Chartreux
chat;Abyssinie;chat abyssin
chat;Bengal;chat du Bengal
chat;Maine;chat Maine Coon
chat;Norvège;chat norvégien
chien;Terre-Neuve;chien de Terre-Neuve
chien;Saint-Bernard;chien du Saint-Bernard
chien;Labrador;chien du Labrador
chien;Dalmatie;chien dalmatien
chien;Chihuahua;chien de Chihuahua
chien;Pékin;pékinois
berger;Allemagne;berger allemand
berger;Belgique;berger belge
berger;Beauceron;berger de Beauce
berger;Brie;berger de Brie
berger;Pyrénées;berger des Pyrénées
berger;Anatolie;berger d'Anatolie
berger;Australie;berger australien
dogue;Allemagne;dogue allemand
dogue;Bordeaux;dogue de Bordeaux
dogue;Tibet;dogue du Tibet
braque;Weimar;braque de Weimar
épagneul;Breton;épagneul breton
cocker;Anglais;cocker anglais
bouledogue;Français;bouledogue français
lévrier;Afghan;lévrier afghan
lévrier;Irlande;lévrier irlandais
terrier;Ecosse;terrier écossais
fox;terrier;fox-terrier
cheval;Camargue;cheval de Camargue
cheval;Arabe;cheval arabe
cheval;Andalou;cheval andalou
cheval;Frison;cheval frison
cheval;Perche;percheron
cheval;Ardennes;ardennais
cheval;Comtois;comtois
poney;Shetland;poney shetland
poney;Landes;poney des Landes
poney;Connemara;poney connemara
âne;Poitou;âne du Poitou
âne;Provence;âne de Provence
âne;Cotentin;âne du Cotentin
vache;Normandie;vache normande
vache;Aubrac;vache d'Aubrac
vache;Salers;vache de Salers
vache;Charolles;vache charolaise
vache;Limousin;vache limousine
vache;Holstein;vache Holstein
vache;Jersey;vache jersiaise
vache;Highland;vache Highland
mouton;Ouessant;mouton d'Ouessant
mouton;Mérinos;mouton mérinos
mouton;Suffolk;mouton Suffolk
chèvre;Angora;chèvre angora
chèvre;Cachemire;chèvre cachemire
chèvre;Alpes;chèvre alpine
cochon;Vietnam;cochon du Vietnam
porc;Gascogne;porc de Gascogne
poule;Bresse;poule de Bresse
poule;Soie;poule soie
poule;Sussex;poule Sussex
canard;Barbarie;canard de Barbarie
oie;Toulouse;oie de Toulouse
dindon;Amérique;dindon d'Amérique
lapin;Flandres;lapin des Flandres
lapin;Garenne;lapin de garenne
ours;Kodiak;ours kodiak
ours;Polaire;ours polaire
tigre;Bengale;tigre du Bengale
tigre;Sibérie;tigre de Sibérie
tigre;Sumatra;tigre de Sumatra
lion;Atlas;lion de l'Atlas
éléphant;Afrique;éléphant d'Afrique
éléphant;Asie;éléphant d'Asie
rhinocéros;Java;rhinocéros de Java
gorille;Montagne;gorille de montagne
macaque;Japon;macaque du Japon
lémurien;Madagascar;lémurien de Madagascar
diable;Tasmanie;diable de Tasmanie
dragon;Komodo;dragon de Komodo
tortue;Galapagos;tortue des Galapagos
tortue;Floride;tortue de Floride
aigle;Royal;aigle royal
faucon;Pèlerin;faucon pèlerin
chouette;Laponie;chouette lapone
cygne;Trompette;cygne trompette
oie;Bernache;oie bernache
canard;Colvert;canard colvert
perroquet;Gabon;gris du Gabon
ara;Hyacinthe;ara hyacinthe
cane;Corse;cane corso
saumon;Atlantique;saumon atlantique
truite;Fario;truite fario
crabe;Kamtchatka;crabe du Kamtchatka
homard;Américain;homard américain
escargot;Bourgogne;escargot de Bourgogne
mouche;Tsé-tsé;mouche tsé-tsé
frelon;Asie;frelon asiatique
coccinelle;Asie;coccinelle asiatique
abeille;Noire;abeille noire
tulipe;Hollande;tulipe de Hollande
rose;Damas;rose de Damas
lys;Vallée;lys de la vallée
violette;Parme;violette de Parme
géranium;Alsace;géranium d'Alsace
lavande;Provence;lavande de Provence
edelweiss;Alpes;edelweiss des Alpes
cèdre;Liban;cèdre du Liban
pin;Maritime;pin maritime
sapin;Nordmann;sapin Nordmann
érable;Sucre;érable à sucre
séquoia;Géant;séquoia géant
baobab;Afrique;baobab d'Afrique
eucalyptus;Australie;eucalyptus d'Australie
bonsaï;Japon;bonsaï du Japon
cactus;Mexique;cactus du Mexique
bambou;Chine;bambou de Chine
lotus;Sacré;lotus sacré
papyrus;Nil;papyrus du Nil
dieu;Olympe;dieu de l'Olympe
dieu;Nil;dieu du Nil
dieu;Stade;dieu du stade
mythologie;Grèce;mythologie de Grèce
mythologie;Nordique;mythologie nordique
mythologie;Égypte;mythologie d'Égypte
légende;Arthur;légende d'Arthur
légende;Siècles;légende des siècles
conte;Perrault;conte de Perrault
conte;Grimm;conte de Grimm
conte;Andersen;conte d'Andersen
fable;Fontaine;fable de La Fontaine
fable;Ésope;fable d'Ésope
tragédie;Grecque;tragédie grecque
comédie;Italienne;comédie italienne
théâtre;Nô;théâtre Nô
théâtre;Kabuki;théâtre Kabuki
théâtre;Boulevard;théâtre de boulevard
cinéma;Muet;cinéma muet
cinéma;Parlant;cinéma parlant
western;Spaghetti;western spaghetti
film;Noir;film noir
nouvelle;Vague;nouvelle vague
réalimse;Italien;réalisme italien
expressionnisme;Allemand;expressionnisme allemand
impressionnisme;Français;impressionnisme français
renaissance;Italienne;renaissance italienne
siècle;Lumières;siècle des Lumières
révolution;Française;révolution française
révolution;Russe;révolution russe
révolution;Industrielle;révolution industrielle
guerre;Troie;guerre de Troie
guerre;Cent Ans;guerre de Cent Ans
guerre;Sécession;guerre de Sécession
guerre;Étoiles;guerre des étoiles (Star Wars)
bataille;Marathon;bataille de Marathon
bataille;Waterloo;bataille de Waterloo
bataille;Verdun;bataille de Verdun
traité;Versailles;traité de Versailles
édit;Nantes;édit de Nantes
code;Hammourabi;code d'Hammourabi
code;Civil;code civil
loi;Talion;loi du talion
serment;Jeu de Paume;serment du Jeu de Paume
appel;18 Juin;appel du 18 juin
mur;Son;mur du son
mur;Berlin;mur de Berlin
rideau;Fer;rideau de fer
guerre;Froide;guerre froide
peste;Noire;peste noire
grippe;Espagnole;grippe espagnole
feu;Saint-Elme;feu de Saint-Elme
tour;Babel;tour de Babel
jardins;Babylone;jardins de Babylone
colosse;Rhodes;colosse de Rhodes
phare;Alexandrie;phare d'Alexandrie
temple;Artémis;temple d'Artémis
mausolée;Halicarnasse;mausolée d'Halicarnasse
statue;Zeus;statue de Zeus
arche;Noé;arche de Noé
cheval;Troie;cheval de Troie
talon;Achille;talon d'Achille
épée;Damoclès;épée de Damoclès
nœud;Gordien;nœud gordien
tonneau;Danaïdes;tonneau des Danaïdes
supplice;Tantale;supplice de Tantale
rocher;Sisyphe;rocher de Sisyphe
fil;Ariane;fil d'Ariane
boîte;Pandore;boîte de Pandore
toile;Pénélope;toile de Pénélope
lit;Procuste;lit de Procuste
victoire;Samothrace;victoire de Samothrace
vénus;Milo;vénus de Milo
mona;Lisa;Mona Lisa
joconde;Vinci;Joconde de Vinci
penseur;Rodin;penseur de Rodin
david;Michel-Ange;David de Michel-Ange
baiser;Klimt;Baiser de Klimt
cri;Munch;Cri de Munch
guernica;Picasso;Guernica de Picasso
tournesols;Van Gogh;tournesols de Van Gogh
nymphéas;Monet;nymphéas de Monet
sacre;Napoléon;sacre de Napoléon
radeau;Méduse;radeau de la Méduse
liberté;Peuple;liberté guidant le peuple
déjeuner;Herbe;déjeuner sur l'herbe
moulin;Galette;moulin de la galette
bar;Folies-Bergère;bar aux Folies-Bergère
vin;Médoc;vin du Médoc
vin;Saint-Émilion;vin de Saint-Émilion
